report_no,reporting_date,previous_report_no,previous_reporting_date,drc_summary_ja,uganda_summary_ja,summary_ja,generated_by,openai_model,source,updated_at_utc,notes
N91,2026-08-13,N90,2026-08-12,N90からN91への更新では、DRCの累積確定例は4665例から4727例へ62例増加し、死亡例は2184例から2214例へ30例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N90からN91への更新では、DRCの累積確定例は4665例から4727例へ62例増加し、死亡例は2184例から2214例へ30例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-15T01:17:13Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N92,2026-08-14,N91,2026-08-13,N91からN92への更新では、DRCの累積確定例は4727例から4843例へ116例増加し、死亡例は2214例から2272例へ58例増加した。新規に報告されたhealth zoneは確認されていない。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N91からN92への更新では、DRCの累積確定例は4727例から4843例へ116例増加し、死亡例は2214例から2272例へ58例増加した。新規に報告されたhealth zoneは確認されていない。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-16T01:21:03Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N93,2026-08-15,N92,2026-08-14,N92からN93への更新では、DRCの累積確定例は4843例から4945例へ102例増加し、死亡例は2272例から2325例へ53例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N92からN93への更新では、DRCの累積確定例は4843例から4945例へ102例増加し、死亡例は2272例から2325例へ53例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-17T01:18:47Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N96,2026-08-18,N93,2026-08-15,N93からN96への更新では、DRCの累積確定例は4945例から5208例へ263例増加し、死亡例は2325例から2476例へ151例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N93からN96への更新では、DRCの累積確定例は4945例から5208例へ263例増加し、死亡例は2325例から2476例へ151例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-20T18:40:48Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N97,2026-08-19,N96,2026-08-18,N96からN97への更新では、DRCの累積確定例は5208例から5290例へ82例増加し、死亡例は2476例から2516例へ40例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N96からN97への更新では、DRCの累積確定例は5208例から5290例へ82例増加し、死亡例は2476例から2516例へ40例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+1などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-21T12:49:19Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N98,2026-08-20,N97,2026-08-19,N97からN98への更新では、DRCの累積確定例は5290例から5375例へ85例増加し、死亡例は2516例から2557例へ41例増加した。新規に報告されたhealth zoneは確認されていない。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N97からN98への更新では、DRCの累積確定例は5290例から5375例へ85例増加し、死亡例は2516例から2557例へ41例増加した。新規に報告されたhealth zoneは確認されていない。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-22T12:40:17Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N103,2026-08-25,N98,2026-08-20,N98からN103への更新では、DRCの累積確定例は5375例から5713例へ338例増加し、死亡例は2557例から2744例へ187例増加した。新規に報告されたhealth zoneは確認されていない。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N98からN103への更新では、DRCの累積確定例は5375例から5713例へ338例増加し、死亡例は2557例から2744例へ187例増加した。新規に報告されたhealth zoneは確認されていない。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-26T19:50:15Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N104,2026-08-26,N103,2026-08-25,N103からN104への更新では、DRCの累積確定例は5713例から5794例へ81例増加し、死亡例は2744例から2786例へ42例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N103からN104への更新では、DRCの累積確定例は5713例から5794例へ81例増加し、死亡例は2744例から2786例へ42例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-28T21:47:08Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N105,2026-08-27,N104,2026-08-26,N104からN105への更新では、DRCの累積確定例は5794例から5863例へ69例増加し、死亡例は2786例から2824例へ38例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。,ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N104からN105への更新では、DRCの累積確定例は5794例から5863例へ69例増加し、死亡例は2786例から2824例へ38例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+2などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-29T12:38:24Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N106,2026-08-28,N105,2026-08-27,"N105からN106への更新では、DRCの累積確定例は5863例から5945例へ82例増加し、死亡例は2824例から2862例へ38例増加した。新たにBafwasende, Beni, Biena, Boma, Buta, Butembo, Ganga, Goma, Gombari, Isiro, Kabondo, Kalunguta, Katwa, Kyondo, Lubero, Lubunga, Mabalako, Mangobo, Manguredjipa, Masereka, Miti-Murhesa, Musienene, Mutwanga, Oicha, Pawa, Rungu, Rwampara, Tchomia, Vuhovi, Wambaの30 health zoneが報告され、影響を受けたhealth zoneは31であった。health zone別では、Rwampara+939, Katwa+377, Butembo+160, Beni+128などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N105からN106への更新では、DRCの累積確定例は5863例から5945例へ82例増加し、死亡例は2824例から2862例へ38例増加した。新たにBafwasende, Beni, Biena, Boma, Buta, Butembo, Ganga, Goma, Gombari, Isiro, Kabondo, Kalunguta, Katwa, Kyondo, Lubero, Lubunga, Mabalako, Mangobo, Manguredjipa, Masereka, Miti-Murhesa, Musienene, Mutwanga, Oicha, Pawa, Rungu, Rwampara, Tchomia, Vuhovi, Wambaの30 health zoneが報告され、影響を受けたhealth zoneは31であった。health zone別では、Rwampara+939, Katwa+377, Butembo+160, Beni+128などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-30T04:05:58Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N107,2026-08-29,N106,2026-08-28,"N106からN107への更新では、DRCの累積確定例は5945例から6041例へ96例増加し、死亡例は2862例から2911例へ49例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Katwa+12, Beni+8, Rwampara+6, Pawa+4などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N106からN107への更新では、DRCの累積確定例は5945例から6041例へ96例増加し、死亡例は2862例から2911例へ49例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Katwa+12, Beni+8, Rwampara+6, Pawa+4などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-31T12:56:38Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N108,2026-08-30,N107,2026-08-29,"N107からN108への更新では、DRCの累積確定例は6041例から6100例へ59例増加し、死亡例は2911例から2950例へ39例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Pawa+5, Rwampara+5, Beni+2, Mabalako+2などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N107からN108への更新では、DRCの累積確定例は6041例から6100例へ59例増加し、死亡例は2911例から2950例へ39例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Pawa+5, Rwampara+5, Beni+2, Mabalako+2などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-08-31T22:35:36Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N109,2026-08-31,N108,2026-08-30,"N108からN109への更新では、DRCの累積確定例は6100例から6186例へ86例増加し、死亡例は2950例から3007例へ57例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+40, Katwa+14, Butembo+9, Rwampara+7などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N108からN109への更新では、DRCの累積確定例は6100例から6186例へ86例増加し、死亡例は2950例から3007例へ57例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Tshopo+40, Katwa+14, Butembo+9, Rwampara+7などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-09-02T10:49:01Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N110,2026-09-01,N109,2026-08-31,"N109からN110への更新では、DRCの累積確定例は6186例から6250例へ64例増加し、死亡例は3007例から3039例へ32例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Rwampara+7, Butembo+6, Beni+5, Isiro+4などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N109からN110への更新では、DRCの累積確定例は6186例から6250例へ64例増加し、死亡例は3007例から3039例へ32例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Rwampara+7, Butembo+6, Beni+5, Isiro+4などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-09-03T10:49:14Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N111,2026-09-02,N110,2026-09-01,"N110からN111への更新では、DRCの累積確定例は6250例から6342例へ92例増加し、死亡例は3039例から3072例へ33例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Katwa+8, Butembo+6, Beni+5, Pawa+2などで増加が報告された。",ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。,"• DRC：N110からN111への更新では、DRCの累積確定例は6250例から6342例へ92例増加し、死亡例は3039例から3072例へ33例増加した。新規に報告されたhealth zoneは確認されていない。health zone別では、Katwa+8, Butembo+6, Beni+5, Pawa+2などで増加が報告された。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例20例、死亡2例（輸入例15例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去53日間、新たな確定例の増加は報告されていない。",deterministic,,validated SitRep delta + Uganda MoH EVD daily page,2026-09-04T10:48:02Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
